cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-5e011,1.1,01.02.2013,80769,ESS5e03_0,5,3.0,725,0.89607425328745,2.07516111405836,3,,,5,5,6,3,3,5,8,2,2,2,2,2,2,2,2,2,6,2,5,8,8,4,5,6,7,3,2,3,2,,1,1,1,6,8,5,2,5,1,2,2,3,4,3,3,3,1,3,3,1,3,3,5,1,2,3,2,
ES,ESS1-5e011,1.1,01.02.2013,80770,ESS5e03_0,5,3.0,728,0.899007088724831,2.07516111405836,3,,,4,8,8,5,5,8,8,3,2,2,2,2,2,2,2,1,2,2,3,7,3,3,6,8,8,1,2,8,8,,3,3,3,7,7,5,2,3,2,2,2,3,4,2,1,3,2,2,3,3,3,2,2,2,3,3,2,
ES,ESS1-5e011,1.1,01.02.2013,80771,ESS5e03_0,5,3.0,729,0.92247133816042,2.07516111405836,4,,,0,6,7,2,2,2,6,2,2,2,2,2,2,2,2,2,6,2,5,10,2,2,8,6,3,2,1,3,2,,1,1,1,6,8,6,2,3,1,3,2,2,3,2,3,2,3,2,3,2,3,3,3,2,2,2,3,
ES,ESS1-5e011,1.1,01.02.2013,80772,ESS5e03_0,5,3.0,730,0.96582753406527,2.07516111405836,3,,,6,6,8,5,5,6,5,1,2,2,2,2,2,2,2,2,6,2,4,8,3,6,6,8,8,2,2,2,3,,2,3,3,5,5,8,3,5,1,5,2,5,5,5,1,5,3,2,4,2,5,2,6,1,1,2,6,
ES,ESS1-5e011,1.1,01.02.2013,80773,ESS5e03_0,5,3.0,731,1.00608655129014,2.07516111405836,4,,,4,3,3,0,0,5,7,1,2,2,2,2,2,2,2,2,6,2,5,8,0,0,6,4,6,1,2,1,1,,3,3,3,4,5,4,2,4,2,2,3,3,3,3,3,3,2,2,5,2,3,2,4,2,2,5,3,
ES,ESS1-5e011,1.1,01.02.2013,80774,ESS5e03_0,5,3.0,734,1.1268509615061,2.07516111405836,3,,,5,6,5,0,0,1,2,3,2,2,2,2,2,2,2,2,6,2,5,8,0,0,0,5,7,2,3,2,2,,4,4,1,0,0,1,5,5,2,5,2,2,2,2,3,3,3,2,3,3,5,5,5,2,2,2,3,
ES,ESS1-5e011,1.1,01.02.2013,80775,ESS5e03_0,5,3.0,735,0.916637781322943,2.07516111405836,3,,,2,2,2,0,0,3,3,2,2,2,2,2,2,2,2,2,6,2,5,5,0,0,0,3,3,1,1,3,1,,7,7,7,5,6,6,1,4,2,1,2,4,5,1,5,2,1,1,4,1,5,3,4,1,2,3,1,
ES,ESS1-5e011,1.1,01.02.2013,80776,ESS5e03_0,5,3.0,737,1.03904780426678,2.07516111405836,1,,,6,5,5,6,6,5,6,1,2,1,2,1,1,1,2,1,1,1,7,8,4,5,9,8,4,1,1,1,3,,3,3,3,4,3,2,4,4,1,6,1,6,5,1,1,2,1,1,5,1,6,2,2,2,1,3,5,
ES,ESS1-5e011,1.1,01.02.2013,80777,ESS5e03_0,5,3.0,738,1.02651889198363,2.07516111405836,3,,,5,6,7,4,3,4,4,1,2,2,2,2,2,2,2,1,3,2,6,8,3,2,5,6,7,3,1,2,3,,4,4,4,2,3,3,3,5,1,4,2,4,3,2,1,5,4,1,5,2,5,2,2,2,2,3,2,
ES,ESS1-5e011,1.1,01.02.2013,80778,ESS5e03_0,5,3.0,741,1.00537955380907,2.07516111405836,2,,,8,7,8,7,7,8,8,1,2,2,2,2,2,2,2,2,6,2,2,9,3,7,10,6,9,2,1,2,3,,2,1,2,7,7,6,1,4,1,5,1,3,2,1,1,3,2,1,2,1,5,2,4,1,1,2,3,
