cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-6e01,1.0,26.11.2014,93449,ESS4e04_3,4,4.3,3,1.1902,1.61651408325379,1.50092092391304,4,4,2,5,5,6,1,2,88,5,7,2,2,2,2,2,2,2,2,6,2,77,7,4,5,5,6,6,2,4,3,3,88,3,3,3,88,77,5,4,5,2,3,2,3,2,3,4,5,3,2,5,1,5,3,2,2,3,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93450,ESS4e04_3,4,4.3,4,0.7545,0.62337403568101,1.50092092391304,3,4,4,3,2,3,1,1,3,2,1,2,2,1,2,1,2,2,1,3,2,2,7,3,2,3,8,8,2,2,2,4,3,3,3,3,3,3,3,2,2,1,2,5,1,6,2,2,2,2,2,3,2,1,4,4,2,4,4,1,
ES,ESS1-6e01,1.0,26.11.2014,93451,ESS4e04_3,4,4.3,5,1.3475,1.05122566797261,1.50092092391304,3,2,4,6,3,8,3,2,4,8,1,2,2,2,2,2,2,2,2,6,2,3,8,2,6,8,8,8,1,2,1,5,3,2,2,2,3,9,8,1,6,2,3,1,5,1,2,2,1,2,2,1,5,5,1,1,1,1,1,6,
ES,ESS1-6e01,1.0,26.11.2014,93452,ESS4e04_3,4,4.3,6,1.4448,1.53799778964544,1.50092092391304,2,2,3,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,6,2,77,9,0,0,3,1,2,1,1,1,1,3,2,3,2,7,6,6,1,3,1,4,1,2,3,1,4,3,3,2,3,1,2,2,5,1,1,4,3,
ES,ESS1-6e01,1.0,26.11.2014,93453,ESS4e04_3,4,4.3,7,0.73,0.747428209529953,1.50092092391304,3,2,2,7,8,8,8,7,8,8,1,2,2,2,2,2,2,2,2,6,2,3,4,5,6,8,5,7,3,2,2,1,9,3,3,3,5,4,6,2,4,2,3,4,2,3,3,2,3,3,4,3,3,5,4,3,2,3,4,2,
ES,ESS1-6e01,1.0,26.11.2014,93454,ESS4e04_3,4,4.3,10,1.3475,1.06108970122873,1.50092092391304,2,1,4,3,0,6,3,1,2,2,1,2,2,2,2,2,2,2,2,6,2,9,4,4,0,7,2,5,1,2,1,1,2,3,2,2,4,0,0,2,3,3,3,3,3,3,2,3,1,2,1,2,2,2,2,2,2,3,1,2,
ES,ESS1-6e01,1.0,26.11.2014,93455,ESS4e04_3,4,4.3,13,0.73,0.603131936444184,1.50092092391304,3,3,4,8,3,7,5,5,8,5,1,2,2,2,2,2,2,2,2,6,2,4,7,4,4,7,9,9,4,8,2,4,4,3,3,3,4,2,3,5,6,3,6,3,5,5,5,2,5,2,3,5,5,6,3,6,2,6,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93456,ESS4e04_3,4,4.3,14,1.3763,1.8924718685018,1.50092092391304,3,2,4,3,2,7,0,2,4,5,1,2,2,2,2,1,2,1,1,3,2,5,5,0,1,6,1,6,2,4,1,2,8,3,3,3,2,8,4,3,5,2,5,5,3,2,1,3,6,5,1,6,2,6,1,2,1,2,1,6,
ES,ESS1-6e01,1.0,26.11.2014,93457,ESS4e04_3,4,4.3,17,1.32,1.11607285574744,1.50092092391304,4,2,4,5,3,7,0,0,88,6,1,2,2,2,2,2,2,2,2,6,2,3,8,8,6,6,5,5,2,1,1,1,8,1,1,1,88,10,5,1,6,1,1,4,2,4,1,1,1,1,1,1,1,2,4,2,1,1,6,1,
ES,ESS1-6e01,1.0,26.11.2014,93458,ESS4e04_3,4,4.3,18,0.298,0.215689990842701,1.50092092391304,2,4,2,88,0,77,88,88,88,77,7,1,2,2,2,2,2,1,1,2,2,10,5,3,0,7,2,3,1,3,1,3,1,4,4,4,0,0,0,1,4,1,2,1,1,3,2,1,2,1,2,2,1,5,1,2,1,3,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93459,ESS4e04_3,4,4.3,19,1.5467,0.922962964675682,1.50092092391304,4,5,1,2,3,7,0,0,2,2,2,2,2,2,2,2,2,2,2,6,2,88,9,6,4,5,6,4,2,1,2,3,88,3,3,3,5,5,5,2,6,2,6,1,2,2,2,2,4,2,1,6,3,5,2,6,1,2,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93460,ESS4e04_3,4,4.3,20,0.922,1.28367753780586,1.50092092391304,2,3,2,4,2,5,1,1,3,5,1,2,2,2,2,2,2,2,2,6,2,8,10,2,1,4,5,6,2,2,4,4,2,3,3,3,2,3,3,2,3,5,6,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,
ES,ESS1-6e01,1.0,26.11.2014,93461,ESS4e04_3,4,4.3,21,1.3475,1.06108970122873,1.50092092391304,2,1,5,6,7,9,3,4,4,0,1,1,2,1,1,1,1,1,1,6,2,5,6,3,3,5,6,8,1,1,1,4,2,2,2,2,7,0,5,1,4,1,2,1,3,2,1,1,2,2,2,2,1,2,2,2,1,1,1,2,
ES,ESS1-6e01,1.0,26.11.2014,93462,ESS4e04_3,4,4.3,22,1.6676,1.84039203851517,1.50092092391304,3,2,5,3,6,9,0,0,6,4,1,2,2,2,2,2,2,2,2,6,2,77,8,4,6,8,6,6,2,1,1,1,7,3,3,3,6,6,6,3,4,2,4,1,2,1,1,1,2,1,1,3,1,3,1,2,1,1,4,1,
ES,ESS1-6e01,1.0,26.11.2014,93463,ESS4e04_3,4,4.3,23,1.4002,1.36162437519185,1.50092092391304,4,5,1,0,0,2,0,0,1,1,1,2,2,2,2,2,2,2,1,2,2,9,3,0,0,4,2,6,1,5,4,4,0,4,4,3,0,0,1,5,5,2,4,2,5,2,3,2,5,3,3,5,1,5,1,2,3,3,1,5,
ES,ESS1-6e01,1.0,26.11.2014,93464,ESS4e04_3,4,4.3,26,1.1866,0.934388897571811,1.50092092391304,3,3,3,6,2,3,0,0,7,6,1,2,2,2,2,2,2,2,1,3,2,6,7,0,1,5,6,6,2,2,2,2,5,3,2,2,7,6,5,2,4,2,3,3,3,3,2,4,3,3,3,3,3,3,3,4,3,2,3,3,
ES,ESS1-6e01,1.0,26.11.2014,93465,ESS4e04_3,4,4.3,27,1.1822,0.952242706176642,1.50092092391304,3,3,2,5,8,9,1,1,1,8,1,2,2,2,2,2,2,2,2,6,2,1,8,3,2,9,8,9,8,1,1,1,9,3,3,3,1,9,7,3,5,3,3,1,5,4,3,1,3,3,2,3,1,4,1,1,2,2,1,3,
ES,ESS1-6e01,1.0,26.11.2014,93466,ESS4e04_3,4,4.3,28,0.9682,0.951317438597377,1.50092092391304,2,2,3,6,7,7,6,6,5,7,1,2,2,2,2,2,2,2,1,2,2,2,8,8,10,7,5,5,2,2,1,3,5,2,2,2,5,1,5,3,5,1,5,2,2,3,1,1,2,2,2,5,2,3,3,3,2,1,2,2,
ES,ESS1-6e01,1.0,26.11.2014,93467,ESS4e04_3,4,4.3,29,1.1822,1.68667205503393,1.50092092391304,2,1,4,3,5,7,4,3,5,5,1,2,2,1,1,2,1,2,1,2,2,4,7,3,3,3,5,6,1,2,2,2,5,1,1,1,9,9,9,1,2,2,4,1,2,4,2,4,1,5,1,2,1,4,2,5,1,1,1,1,
ES,ESS1-6e01,1.0,26.11.2014,93468,ESS4e04_3,4,4.3,30,1.32,1.14414316730177,1.50092092391304,4,4,2,3,4,8,2,2,5,3,1,1,2,2,2,2,2,2,1,2,2,9,8,1,1,5,3,5,1,3,2,2,1,4,4,4,4,4,2,2,4,1,1,1,5,1,1,2,5,2,1,3,1,5,3,1,1,1,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93469,ESS4e04_3,4,4.3,31,0.298,0.284881851607646,1.50092092391304,4,5,1,0,2,4,0,0,0,0,1,2,2,2,2,2,2,2,2,6,2,7,10,7,5,5,5,8,1,5,1,2,0,3,2,2,5,4,5,4,4,1,5,1,5,3,3,2,5,4,1,5,2,6,2,4,2,2,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93470,ESS4e04_3,4,4.3,33,1.3475,1.29713640045315,1.50092092391304,3,5,2,5,5,8,4,4,5,4,2,2,2,2,2,2,2,2,1,2,2,2,5,3,3,8,88,7,2,5,1,3,2,4,4,4,2,4,3,4,6,2,5,2,5,5,4,3,5,4,2,5,3,6,5,4,4,5,2,5,
ES,ESS1-6e01,1.0,26.11.2014,93471,ESS4e04_3,4,4.3,34,1.1866,1.79154829101031,1.50092092391304,2,3,3,6,5,8,6,6,8,7,1,2,2,2,1,1,2,2,1,2,2,6,8,5,2,5,5,8,2,1,5,2,6,2,2,2,9,6,5,5,5,2,5,1,5,1,1,2,2,2,1,4,1,6,2,2,1,1,1,3,
ES,ESS1-6e01,1.0,26.11.2014,93472,ESS4e04_3,4,4.3,35,1.4257,0.881619977493132,1.50092092391304,4,5,1,5,6,9,0,0,5,5,1,2,2,2,2,2,2,2,2,6,2,3,8,4,6,8,8,9,2,1,1,3,2,3,3,3,3,5,3,4,4,2,5,3,3,3,2,3,2,2,1,1,1,5,3,5,1,3,3,1,
ES,ESS1-6e01,1.0,26.11.2014,93473,ESS4e04_3,4,4.3,39,0.7545,0.6390524954754,1.50092092391304,2,1,4,0,0,8,0,0,5,0,1,1,1,1,2,2,1,2,2,6,2,3,7,2,2,5,88,10,3,1,1,2,7,2,3,3,4,8,5,3,3,1,2,2,2,5,2,2,3,5,2,2,2,4,2,5,2,1,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93474,ESS4e04_3,4,4.3,40,1.4448,1.13969112094302,1.50092092391304,4,5,1,4,1,5,1,1,4,5,1,2,2,2,2,2,2,2,2,6,2,77,88,88,5,5,6,6,3,2,2,3,5,3,3,3,5,5,4,4,4,2,2,2,4,4,4,2,5,3,3,5,2,5,2,5,4,3,1,4,
ES,ESS1-6e01,1.0,26.11.2014,93475,ESS4e04_3,4,4.3,41,0.3666,0.265342116251457,1.50092092391304,1,1,5,6,4,1,5,7,5,4,1,1,1,1,1,1,1,1,1,1,1,0,7,6,8,8,8,5,1,1,2,3,9,1,1,1,9,9,9,1,5,1,5,5,2,6,1,3,3,2,1,4,3,5,5,4,1,1,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93476,ESS4e04_3,4,4.3,42,1.4205,1.4021791871087,1.50092092391304,2,3,3,8,8,8,7,7,8,8,1,2,2,2,1,2,2,2,1,2,1,0,9,7,8,8,8,6,2,1,2,1,0,3,3,3,6,6,9,2,3,3,2,1,2,3,2,2,2,2,2,4,1,1,1,5,1,2,2,2,
ES,ESS1-6e01,1.0,26.11.2014,93477,ESS4e04_3,4,4.3,43,1.32,1.15487907929086,1.50092092391304,2,1,4,5,2,8,6,6,7,5,1,2,2,2,2,2,2,2,1,1,2,10,8,5,0,2,4,7,1,2,1,3,5,2,2,2,8,8,7,2,5,2,4,3,3,3,2,3,4,2,2,4,2,4,3,4,3,2,5,4,
ES,ESS1-6e01,1.0,26.11.2014,93478,ESS4e04_3,4,4.3,44,0.3666,0.265342116251457,1.50092092391304,4,5,1,0,77,77,0,0,0,0,2,2,2,2,2,2,2,2,2,6,2,77,8,4,77,88,4,4,2,2,7,7,5,2,2,2,7,7,7,2,6,1,5,1,1,1,1,2,3,5,1,5,1,5,2,4,1,2,5,5,
ES,ESS1-6e01,1.0,26.11.2014,93479,ESS4e04_3,4,4.3,46,0.9682,1.07625189374204,1.50092092391304,3,4,1,6,9,9,3,2,5,88,3,2,2,2,2,2,2,2,2,6,2,8,4,3,4,3,4,3,2,1,2,2,2,2,2,3,3,8,5,2,3,1,3,3,3,3,1,3,2,1,1,3,2,4,2,2,2,2,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93480,ESS4e04_3,4,4.3,49,1.0909,1.40305510762023,1.50092092391304,3,3,3,3,4,8,0,0,4,4,7,7,2,2,2,2,2,2,2,6,2,5,8,88,3,5,4,7,8,4,3,2,5,3,3,3,8,7,7,4,5,2,3,2,4,2,2,2,5,2,2,3,2,5,2,3,2,3,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93481,ESS4e04_3,4,4.3,50,1.5171,1.2327860381297,1.50092092391304,3,3,3,8,7,7,5,5,5,6,1,2,2,2,2,2,2,2,1,3,2,4,8,5,6,7,8,8,1,1,1,8,8,1,1,1,8,5,5,2,5,1,2,1,3,3,2,1,2,2,2,2,1,4,1,2,1,1,1,1,
ES,ESS1-6e01,1.0,26.11.2014,93482,ESS4e04_3,4,4.3,58,1.621,1.74776625438426,1.50092092391304,4,3,2,5,2,6,4,3,3,6,2,2,2,2,2,2,2,2,2,6,2,8,7,4,3,6,7,7,2,4,1,8,6,2,2,2,88,88,2,2,4,2,3,1,5,1,2,1,3,2,1,4,1,5,1,2,1,2,1,3,
ES,ESS1-6e01,1.0,26.11.2014,93483,ESS4e04_3,4,4.3,59,1.2029,1.16976000636929,1.50092092391304,2,3,2,6,1,1,4,4,88,8,1,1,2,1,2,1,1,2,1,3,2,3,7,7,5,6,2,7,1,2,2,2,1,3,2,2,88,6,4,2,5,1,3,3,2,4,2,1,3,1,1,4,1,4,1,2,2,1,1,2,
ES,ESS1-6e01,1.0,26.11.2014,93484,ESS4e04_3,4,4.3,62,1.4448,1.21473382914996,1.50092092391304,1,1,4,3,3,3,0,0,3,5,3,2,2,2,2,2,1,2,2,6,2,4,7,5,6,7,6,5,2,2,2,2,8,7,7,7,5,7,7,2,3,2,3,3,3,3,2,3,3,2,2,3,2,3,2,3,2,2,4,3,
ES,ESS1-6e01,1.0,26.11.2014,93485,ESS4e04_3,4,4.3,63,1.4257,0.888308083713602,1.50092092391304,4,5,2,5,3,7,2,2,5,5,2,2,2,2,2,2,2,2,2,6,2,88,9,3,2,2,9,0,1,2,2,8,88,4,4,4,2,1,1,4,6,2,6,1,4,2,3,2,5,2,1,6,2,5,2,6,1,1,3,5,
ES,ESS1-6e01,1.0,26.11.2014,93486,ESS4e04_3,4,4.3,64,1.1327,1.21146544416485,1.50092092391304,3,3,2,6,3,7,6,5,5,7,1,2,2,2,2,2,2,2,1,2,2,7,7,6,4,6,4,6,2,4,2,2,7,4,4,4,4,4,5,3,4,4,4,3,3,3,3,3,4,3,3,4,3,5,3,4,2,3,3,5,
ES,ESS1-6e01,1.0,26.11.2014,93487,ESS4e04_3,4,4.3,65,0.73,0.747428209529953,1.50092092391304,3,4,4,2,2,4,0,0,2,1,1,2,2,2,2,2,2,2,2,6,2,3,7,1,0,3,3,3,1,2,8,3,5,4,4,4,2,2,1,2,4,1,5,2,2,3,1,2,2,1,1,5,1,3,2,4,2,3,4,2,
ES,ESS1-6e01,1.0,26.11.2014,93488,ESS4e04_3,4,4.3,67,1.4448,0.932295563205232,1.50092092391304,3,2,3,8,3,5,5,5,6,6,1,2,2,2,2,2,1,2,1,2,2,7,9,3,3,7,5,7,4,1,1,5,5,3,3,3,5,6,5,3,4,1,2,1,5,1,2,2,4,1,1,3,1,4,1,1,1,2,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93489,ESS4e04_3,4,4.3,71,1.32,1.38308765606791,1.50092092391304,3,5,2,7,10,10,4,6,8,5,1,2,2,2,2,1,2,2,1,2,2,7,10,5,6,6,8,10,3,1,2,4,7,3,3,3,5,5,5,4,5,2,4,2,3,3,2,2,4,2,2,4,2,5,3,5,3,5,4,4,
ES,ESS1-6e01,1.0,26.11.2014,93490,ESS4e04_3,4,4.3,72,0.1627,0.142605032805237,1.50092092391304,4,3,3,5,5,7,5,5,5,4,1,2,2,2,2,2,2,2,2,6,2,4,9,5,5,5,7,7,2,2,2,2,7,3,3,3,7,6,7,2,5,2,2,1,4,4,3,1,3,2,3,4,5,4,1,3,2,2,3,3,
ES,ESS1-6e01,1.0,26.11.2014,93491,ESS4e04_3,4,4.3,73,0.7445,1.09809614982018,1.50092092391304,2,2,4,6,8,9,5,5,9,10,1,1,2,1,1,1,1,1,1,2,2,5,7,3,4,8,5,7,1,4,1,2,8,3,3,3,8,8,7,3,5,1,5,2,4,8,1,3,3,2,1,5,2,4,3,5,1,1,3,3,
ES,ESS1-6e01,1.0,26.11.2014,93492,ESS4e04_3,4,4.3,74,0.4298,0.44454916290819,1.50092092391304,3,3,2,6,7,6,6,7,6,8,1,2,2,2,2,2,2,1,1,2,2,4,6,4,7,8,6,6,2,3,1,2,5,4,4,4,1,6,7,3,2,2,4,2,3,1,3,2,3,2,3,2,3,3,3,3,1,2,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93493,ESS4e04_3,4,4.3,75,1.5467,1.1942595141235,1.50092092391304,3,3,2,8,2,3,1,1,5,5,1,2,2,2,2,2,2,2,1,2,2,4,7,3,2,10,5,7,4,4,2,3,10,3,3,3,5,7,5,4,5,1,5,3,2,3,1,4,2,1,1,5,2,5,2,5,1,2,4,1,
ES,ESS1-6e01,1.0,26.11.2014,93494,ESS4e04_3,4,4.3,76,0.7584,1.45675945244039,1.50092092391304,3,3,3,7,5,8,77,77,77,3,1,2,2,2,2,2,2,2,1,2,2,5,7,5,4,4,6,7,3,4,2,8,5,3,3,3,4,6,5,4,5,2,5,2,5,3,3,4,5,4,1,5,2,5,2,4,2,2,3,5,
ES,ESS1-6e01,1.0,26.11.2014,93495,ESS4e04_3,4,4.3,79,1.32,1.06889555272889,1.50092092391304,2,3,3,5,7,9,4,7,8,8,3,2,2,2,2,2,2,2,1,3,2,8,5,6,6,8,4,7,2,2,2,2,8,2,2,2,6,8,9,2,5,2,2,2,2,2,3,2,4,2,2,3,1,5,2,4,2,1,1,3,
ES,ESS1-6e01,1.0,26.11.2014,93496,ESS4e04_3,4,4.3,80,0.1627,0.11776094466479,1.50092092391304,3,5,2,5,6,8,0,0,4,5,1,2,2,2,2,1,2,2,1,2,2,4,8,5,5,8,6,7,2,1,1,3,7,3,3,3,5,6,5,2,5,2,3,1,2,3,2,2,4,2,2,3,2,5,2,5,2,2,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93497,ESS4e04_3,4,4.3,81,0.298,0.647898318565439,1.50092092391304,3,5,3,5,5,3,4,5,5,5,1,2,2,2,2,2,2,1,1,3,2,5,7,7,3,6,6,7,2,1,3,1,7,2,2,2,5,2,5,3,4,1,3,4,4,1,2,3,3,3,3,2,3,4,2,3,3,1,3,2,
ES,ESS1-6e01,1.0,26.11.2014,93498,ESS4e04_3,4,4.3,85,0.298,0.261194221118382,1.50092092391304,2,4,2,5,5,10,4,8,8,8,3,2,2,2,2,2,2,2,2,6,2,5,3,3,3,8,6,7,2,2,2,2,5,2,2,2,4,8,6,3,5,1,5,2,4,1,2,2,3,3,2,4,2,5,1,6,2,1,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93499,ESS4e04_3,4,4.3,86,0.73,0.598590932562926,1.50092092391304,4,3,8,5,1,9,1,1,88,7,2,2,2,2,2,2,2,2,2,6,2,77,9,1,1,1,3,3,2,1,1,1,3,2,2,2,5,4,3,1,3,2,3,4,1,3,3,4,2,2,2,3,4,2,4,4,2,1,4,1,
ES,ESS1-6e01,1.0,26.11.2014,93500,ESS4e04_3,4,4.3,87,0.6736,0.570531160970482,1.50092092391304,3,5,2,6,5,8,6,6,7,7,1,2,2,2,2,2,2,2,1,3,2,5,5,3,4,6,5,8,1,2,2,3,2,3,3,3,5,5,4,4,4,2,5,2,5,2,4,1,4,3,2,5,2,6,2,4,2,2,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93501,ESS4e04_3,4,4.3,90,0.4298,0.311085765316083,1.50092092391304,3,3,2,5,5,8,4,4,6,8,1,2,2,2,2,1,2,2,1,6,2,6,8,4,2,5,5,8,2,2,2,2,8,3,3,3,2,2,5,3,5,2,5,2,5,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,
ES,ESS1-6e01,1.0,26.11.2014,93502,ESS4e04_3,4,4.3,91,1.6064,1.03657225410637,1.50092092391304,4,3,3,7,4,8,2,3,4,4,1,2,2,2,2,2,2,2,2,6,2,6,8,2,3,6,6,6,2,2,1,2,5,3,3,3,6,8,5,5,5,1,3,1,5,1,2,2,4,1,1,4,1,3,1,1,1,2,1,4,
ES,ESS1-6e01,1.0,26.11.2014,93503,ESS4e04_3,4,4.3,93,1.3874,1.1642281960642,1.50092092391304,4,3,2,5,4,6,1,3,5,5,2,2,2,1,1,1,1,2,2,6,2,77,77,5,5,6,6,6,2,2,1,4,4,4,4,4,4,6,4,3,5,2,4,2,3,3,3,3,4,3,3,4,2,4,3,4,2,2,4,4,
ES,ESS1-6e01,1.0,26.11.2014,93504,ESS4e04_3,4,4.3,94,0.73,0.603131936444184,1.50092092391304,3,3,3,6,5,5,4,4,8,8,3,2,2,2,2,2,2,2,2,6,2,88,7,2,5,6,7,6,1,2,2,3,10,2,2,2,8,8,88,3,4,1,5,2,3,3,2,2,4,3,1,5,3,5,2,6,1,1,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93505,ESS4e04_3,4,4.3,96,1.4448,2.59196560530613,1.50092092391304,2,2,3,5,4,4,3,3,5,5,1,2,2,1,2,2,1,2,1,6,7,77,7,3,4,4,3,5,2,2,2,2,5,3,3,3,5,7,5,2,2,2,5,2,2,2,2,2,2,1,2,5,2,4,2,2,1,2,3,3,
ES,ESS1-6e01,1.0,26.11.2014,93506,ESS4e04_3,4,4.3,98,0.6736,0.703994165129995,1.50092092391304,4,5,1,88,1,9,0,0,88,88,1,2,2,2,2,2,2,2,2,6,2,77,4,1,1,5,2,7,2,2,8,2,5,3,3,3,4,3,4,4,6,3,6,5,6,5,3,2,5,2,3,6,3,6,2,4,3,5,3,5,
ES,ESS1-6e01,1.0,26.11.2014,93507,ESS4e04_3,4,4.3,99,1.5467,0.956443585037965,1.50092092391304,3,4,3,7,6,8,6,6,7,7,1,2,2,2,2,2,2,2,1,3,2,2,10,7,6,6,7,7,2,1,1,2,5,3,3,3,5,5,5,1,4,2,3,2,1,2,2,5,1,1,2,2,2,1,2,3,2,2,5,1,
ES,ESS1-6e01,1.0,26.11.2014,93508,ESS4e04_3,4,4.3,101,0.7545,0.910614336145197,1.50092092391304,3,3,4,5,6,7,6,6,88,88,3,2,2,2,2,2,2,2,2,6,2,5,2,0,2,2,7,7,1,5,8,4,6,2,2,2,7,6,5,2,3,1,2,2,3,3,2,3,3,2,2,4,2,3,2,1,2,2,1,3,
ES,ESS1-6e01,1.0,26.11.2014,93509,ESS4e04_3,4,4.3,102,1.6303,1.53746077749897,1.50092092391304,2,3,2,0,0,4,5,5,8,8,1,2,2,2,2,2,2,2,1,3,2,6,7,0,0,0,6,6,5,5,2,2,0,4,4,4,0,6,5,3,3,4,4,4,3,4,3,4,4,3,3,3,4,5,4,3,4,4,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93510,ESS4e04_3,4,4.3,103,0.7545,1.06413020762756,1.50092092391304,3,3,2,5,3,5,2,2,5,2,2,1,2,2,2,1,1,1,2,6,2,0,10,2,2,5,2,2,1,1,1,4,7,1,1,1,8,8,7,5,5,1,5,5,1,3,1,1,1,1,1,5,5,5,1,1,1,1,3,2,
ES,ESS1-6e01,1.0,26.11.2014,93511,ESS4e04_3,4,4.3,105,0.6736,0.950030626716931,1.50092092391304,2,3,3,3,2,4,3,3,2,2,1,1,2,2,1,1,1,2,1,6,1,2,7,4,5,3,9,9,3,1,4,4,8,3,3,3,3,6,5,1,2,3,1,4,2,2,4,4,1,1,3,1,6,1,5,2,1,3,6,1,
ES,ESS1-6e01,1.0,26.11.2014,93512,ESS4e04_3,4,4.3,106,1.4257,1.03024356536022,1.50092092391304,4,5,3,88,5,4,0,0,0,0,1,2,2,2,2,2,2,2,2,6,2,3,9,5,5,10,5,5,1,1,8,5,88,3,3,3,2,3,2,1,6,1,2,1,1,5,2,1,5,4,1,1,2,5,1,6,1,1,3,5,
ES,ESS1-6e01,1.0,26.11.2014,93513,ESS4e04_3,4,4.3,107,0.7445,0.630582614819662,1.50092092391304,2,2,4,4,2,5,5,5,3,4,1,2,2,2,2,2,2,2,1,2,2,3,5,5,5,7,5,7,2,2,2,3,2,2,2,3,5,5,5,4,5,2,3,2,4,2,4,2,5,3,3,5,3,5,2,6,2,3,2,5,
ES,ESS1-6e01,1.0,26.11.2014,93514,ESS4e04_3,4,4.3,110,0.3666,0.286686625396871,1.50092092391304,4,2,1,5,0,3,4,2,3,5,1,8,2,1,2,1,1,1,1,4,2,5,5,5,2,5,4,7,2,4,1,2,4,3,3,3,3,3,3,2,5,2,1,2,4,2,2,2,5,2,1,3,2,3,2,4,2,1,3,4,
ES,ESS1-6e01,1.0,26.11.2014,93515,ESS4e04_3,4,4.3,111,0.7545,0.6390524954754,1.50092092391304,3,5,2,6,7,10,4,2,7,5,1,2,2,2,2,2,2,1,1,3,2,5,7,3,0,8,6,7,1,1,1,2,5,3,3,3,5,5,2,2,5,2,5,2,2,4,2,2,3,1,2,5,3,5,2,5,2,1,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93516,ESS4e04_3,4,4.3,113,0.7445,0.898545226322199,1.50092092391304,2,4,4,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,6,2,8,5,3,1,3,5,5,4,2,3,3,0,3,3,3,2,3,2,4,5,3,5,2,3,5,5,2,2,2,2,5,2,5,4,5,5,2,4,4,
ES,ESS1-6e01,1.0,26.11.2014,93517,ESS4e04_3,4,4.3,114,0.6736,0.575884662618056,1.50092092391304,1,3,3,7,5,7,5,5,6,7,1,2,2,1,2,1,2,2,1,2,2,5,5,5,4,6,7,8,2,3,2,5,3,2,2,3,7,4,6,1,5,1,3,2,2,3,1,1,3,2,1,2,2,4,2,5,2,3,2,2,
ES,ESS1-6e01,1.0,26.11.2014,93518,ESS4e04_3,4,4.3,115,1.2051,0.995102029406823,1.50092092391304,2,1,2,3,4,6,3,4,5,5,1,2,2,2,2,2,2,2,2,6,2,6,7,3,3,3,6,6,2,2,2,2,5,3,3,3,6,5,5,2,3,1,2,1,2,4,2,2,2,2,2,5,2,5,5,2,1,2,2,3,
ES,ESS1-6e01,1.0,26.11.2014,93519,ESS4e04_3,4,4.3,116,1.0668,1.23524883799112,1.50092092391304,4,4,3,2,5,6,2,2,2,2,1,2,2,1,2,2,2,2,7,6,2,77,8,1,77,0,2,7,2,1,2,5,1,2,2,2,1,3,1,2,2,2,2,1,1,4,3,4,1,2,3,2,8,1,3,2,1,1,6,1,
ES,ESS1-6e01,1.0,26.11.2014,93520,ESS4e04_3,4,4.3,117,1.3874,1.12347400746671,1.50092092391304,2,3,2,6,6,7,6,6,7,7,1,2,2,1,2,1,1,2,1,2,2,4,7,6,7,7,6,7,2,2,2,3,8,1,2,3,4,7,5,2,4,2,2,2,5,5,2,2,2,2,2,3,2,5,2,2,2,2,2,4,
ES,ESS1-6e01,1.0,26.11.2014,93521,ESS4e04_3,4,4.3,119,0.4298,0.410879932285121,1.50092092391304,4,3,3,5,3,5,3,3,7,6,1,2,2,2,2,1,1,2,2,6,2,4,5,3,5,5,3,5,2,1,2,3,3,3,3,3,3,8,3,3,5,2,6,1,3,2,2,2,4,3,2,5,3,6,2,6,2,3,2,5,
