cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-6e01,1.0,26.11.2014,94252,ESS4e04_3,4,4.3,1252,1.6676,1.06516080398375,1.50092092391304,4,5,1,3,0,6,2,2,88,88,1,2,2,2,2,2,2,2,2,6,2,7,10,0,2,5,5,6,2,4,1,1,0,2,2,2,5,6,6,2,2,2,2,1,2,2,1,2,2,1,1,2,2,5,1,1,1,1,2,2,
ES,ESS1-6e01,1.0,26.11.2014,94253,ESS4e04_3,4,4.3,1253,0.3666,0.343337012381984,1.50092092391304,4,5,1,4,5,7,2,2,4,4,2,2,2,2,2,2,2,2,2,6,2,7,5,4,4,5,4,7,2,1,2,2,3,3,3,3,5,4,5,2,3,2,4,3,6,2,2,2,3,2,2,5,2,5,2,6,2,2,6,6,
ES,ESS1-6e01,1.0,26.11.2014,94254,ESS4e04_3,4,4.3,1254,1.4777,1.25953167128626,1.50092092391304,2,4,2,4,4,6,4,5,5,7,1,1,2,2,2,2,2,2,2,6,2,6,6,5,5,8,7,4,2,1,2,1,6,2,2,2,5,8,6,2,5,3,5,2,2,2,4,2,2,1,4,5,4,5,3,5,3,2,1,3,
ES,ESS1-6e01,1.0,26.11.2014,94255,ESS4e04_3,4,4.3,1256,1.4448,0.894185158842924,1.50092092391304,4,4,3,6,2,8,2,2,4,4,1,2,2,2,2,2,2,2,2,6,2,4,9,4,7,7,5,6,2,1,1,4,6,3,3,3,5,8,6,2,5,1,4,1,5,2,1,2,3,1,1,4,1,5,2,1,1,2,5,3,
ES,ESS1-6e01,1.0,26.11.2014,94256,ESS4e04_3,4,4.3,1257,0.4298,0.410879932285121,1.50092092391304,3,2,2,6,6,8,7,6,6,7,1,2,2,2,2,2,2,2,2,6,2,8,8,3,5,6,4,6,2,2,2,3,3,3,4,3,3,4,5,3,4,2,4,2,2,2,1,3,2,2,3,2,2,4,2,2,4,2,4,3,
ES,ESS1-6e01,1.0,26.11.2014,94257,ESS4e04_3,4,4.3,1259,1.6676,1.5177950250957,1.50092092391304,3,2,3,5,7,8,3,3,5,7,2,2,2,2,2,2,2,2,2,6,2,88,7,3,1,10,8,5,1,1,1,1,0,4,4,4,0,3,0,2,4,1,3,2,2,1,1,5,4,2,2,5,3,4,2,1,1,2,1,1,
ES,ESS1-6e01,1.0,26.11.2014,94258,ESS4e04_3,4,4.3,1261,1.4777,1.59325983596769,1.50092092391304,3,5,2,7,7,7,5,5,7,7,1,2,2,2,2,2,2,2,1,3,2,2,7,5,5,7,2,7,2,2,2,3,6,3,3,3,6,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,1,1,2,2,
ES,ESS1-6e01,1.0,26.11.2014,94259,ESS4e04_3,4,4.3,1263,1.4448,1.13969112094302,1.50092092391304,3,4,2,5,2,5,5,4,5,5,1,2,2,2,2,2,2,2,2,6,2,4,7,5,5,5,3,3,1,1,2,3,7,3,3,4,2,2,2,2,1,1,2,1,2,4,2,1,3,2,2,4,2,4,2,4,1,2,2,3,
ES,ESS1-6e01,1.0,26.11.2014,94260,ESS4e04_3,4,4.3,1264,1.6676,1.42203319132727,1.50092092391304,3,2,3,88,7,8,6,5,6,6,1,2,2,2,2,2,2,2,1,3,2,4,6,6,6,5,6,6,3,2,3,2,5,3,3,3,4,5,5,3,4,3,3,2,3,3,3,4,3,2,3,3,2,3,3,3,3,3,3,3,
ES,ESS1-6e01,1.0,26.11.2014,94261,ESS4e04_3,4,4.3,1266,0.4298,0.410879932285121,1.50092092391304,4,3,2,5,5,8,2,2,5,5,1,2,2,2,2,2,2,2,2,6,2,3,8,8,5,8,7,8,1,1,1,4,7,2,2,2,3,5,3,2,5,2,3,1,5,2,2,2,5,3,1,5,2,6,1,2,1,1,1,6,
ES,ESS1-6e01,1.0,26.11.2014,94262,ESS4e04_3,4,4.3,1267,1.6676,1.06516080398375,1.50092092391304,4,5,2,8,9,9,3,2,5,2,1,2,2,2,2,2,2,2,1,1,2,4,8,5,6,8,6,8,1,7,1,3,0,4,4,4,5,6,6,5,6,1,6,2,6,1,1,1,6,4,2,5,1,6,3,1,1,3,1,5,
